Año,Municipio,Departamento,Escenario,Rendimiento_t_ha,Area_ha,Precio_USD,Ingreso_Millones_COP,Porcentaje_Prosperidad_%,Probabilidad_Exito_%
2026,HUILA - ACEVEDO,HUILA,Normal,1.3693997677099912,11031.77,5500,339187.9714338237,35.82113447434246,99.15315720491134
2026,ANTIOQUIA - ANDES,ANTIOQUIA,Normal,1.7091226650073743,8094.23,5500,268227.57064821926,18.24886015436082,88.81200041636757
2026,HUILA - LA PLATA,HUILA,Normal,1.5342745438682481,9040.67,5500,288462.3618594601,36.3676163469238,99.23354220695404
2026,HUILA - PITALITO,HUILA,Normal,1.488490086715208,13762.68,5500,434692.3974143778,28.053543513020333,96.92744899708426
2026,TOLIMA - PLANADAS,TOLIMA,Normal,1.1995539296351838,11103.74,5500,328123.8743426069,33.52957611148673,98.73013364099864
2027,HUILA - ACEVEDO,HUILA,Fuerte Sequía (El Niño),1.2988655663069302,11031.77,4500,273035.47158608446,9.3316704180185,73.3065677546464
2027,ANTIOQUIA - ANDES,ANTIOQUIA,Fuerte Sequía (El Niño),1.4451776573732014,8094.23,4500,207153.0612448016,-8.676004817527474,28.149693858621117
2027,HUILA - LA PLATA,HUILA,Fuerte Sequía (El Niño),1.368168102937442,9040.67,4500,227364.77987362564,7.48436251005669,69.10953378002105
2027,HUILA - PITALITO,HUILA,Fuerte Sequía (El Niño),1.3680137828037096,13762.68,4500,346106.8825849735,1.9576441016099466,55.19183729784809
2027,TOLIMA - PLANADAS,TOLIMA,Fuerte Sequía (El Niño),1.1008546657837222,11103.74,4500,262152.4184700751,6.682579513735795,67.20226850798257
2028,HUILA - ACEVEDO,HUILA,Normal,1.2541945164801374,11031.77,3800,228166.30151930157,-8.635303928480834,28.24134060843807
2028,ANTIOQUIA - ANDES,ANTIOQUIA,Normal,1.339776410290416,8094.23,3800,170779.56455739768,-24.711360589193692,4.973545879795088
2028,HUILA - LA PLATA,HUILA,Normal,1.2199601033280079,9040.67,3800,185479.6459834862,-12.316403982151632,20.579647794921634
2028,HUILA - PITALITO,HUILA,Normal,1.281853463113168,13762.68,3800,286500.3113716339,-15.601514296214985,14.914650046372202
2028,TOLIMA - PLANADAS,TOLIMA,Normal,1.0178038198719348,11103.74,3800,216887.68900588513,-11.73784219518091,21.695369185507708
2029,HUILA - ACEVEDO,HUILA,Lluvias Fuertes (La Niña),1.223094682594839,11031.77,3500,208616.1444396436,-16.46377880772284,13.61928174219898
2029,ANTIOQUIA - ANDES,ANTIOQUIA,Lluvias Fuertes (La Niña),1.2685869353760968,8094.23,3500,154715.48093386716,-31.79325591157311,1.7021989815237837
2029,HUILA - LA PLATA,HUILA,Lluvias Fuertes (La Niña),1.1709355192906998,9040.67,3500,168850.91016280052,-20.17746790783081,8.928605442014598
2029,HUILA - PITALITO,HUILA,Lluvias Fuertes (La Niña),1.226706083350315,13762.68,3500,260481.65050047805,-23.266202571954484,6.044123618655162
2029,TOLIMA - PLANADAS,TOLIMA,Lluvias Fuertes (La Niña),0.9602160088744596,11103.74,3500,196900.28185356027,-19.871691065412534,9.262216388099292
2030,HUILA - ACEVEDO,HUILA,Normal,1.1783831909749982,11031.77,3500,206406.39581697015,-17.348629068084094,12.372296514733044
2030,ANTIOQUIA - ANDES,ANTIOQUIA,Normal,1.2625547203005532,8094.23,3500,154496.73959143396,-31.88968863229921,1.6752493985376704
2030,HUILA - LA PLATA,HUILA,Normal,1.1593913721568831,9040.67,3500,168383.34624937802,-20.398503941621343,8.693074391894505
2030,HUILA - PITALITO,HUILA,Normal,1.1845743632783032,13762.68,3500,257883.94019860897,-24.03144717055627,5.4567138357185465
2030,TOLIMA - PLANADAS,TOLIMA,Normal,0.9874622790682481,11103.74,3500,198255.6424566359,-19.320128862968442,9.887148635620274
